Assemblage_Name	2841260-4-3	0-39310-521843	7353648-2936949-1	5461838-2931217-1	1-4-3	3-2-2	2841260-4-6332437	3-2931217-1	0-39310-4546457	198614-4969411-521843	8324152-2-2	3-4-1	4526729-2936949-1	0-6733022-4546457	0-4969411-521843	3-2475511-2	3-2-3376722	1-4-4075604	0-39310-2327019
assemblage-50-193	0	0	0	65	0	0	0	13	6	82	0	0	29	131	33	0	0	0	37
assemblage-347-295	0	0	4	32	0	0	0	82	23	9	25	0	39	147	29	18	0	0	40
assemblage-283-121	17	75	28	29	0	0	0	54	56	0	22	0	0	107	0	18	0	13	37
assemblage-335-13	52	0	0	0	123	44	12	28	90	0	0	21	0	0	0	0	34	18	24
assemblage-215-181	0	35	29	42	0	0	0	56	13	0	35	0	0	139	3	44	0	0	35
assemblage-58-246	0	0	0	0	79	88	0	149	0	0	0	15	0	0	0	0	0	0	14
assemblage-238-371	54	37	25	11	0	6	24	105	98	0	14	0	0	27	0	15	0	11	39
assemblage-409-314	76	9	0	0	18	18	15	93	76	0	24	0	0	0	0	0	23	45	44
assemblage-362-85	15	0	0	0	50	121	0	0	11	0	0	53	0	0	0	0	5	0	35
assemblage-176-397	0	0	0	50	0	0	0	40	31	22	0	0	21	120	41	5	0	0	50
