Assemblage_Name	3766722-6024695-4	2-6024695-1017314	2-6152425-4	5885729-6024695-4	3766722-6024695-2940464	2-7970978-2376448	9259439-3-3	2-7970978-7431668	3-3-2	4-3-9034389	803179-6024695-4	2-6024695-7072931	2-8515498-7431668	4-3-1782563	5230349-8515498-7431668	2238366-6024695-4	2-6024695-7760568	2-6024695-4	3209147-6024695-4	2-4-4	4-2795266-2812890	2-6024695-9864527	2-3022838-8237419	2-9646254-4	4-2795266-3	4-3-3	2-5359338-8237419
assemblage-75-101	0	0	0	0	0	0	6	0	26	22	7	0	0	7	0	0	0	245	0	0	0	20	0	36	0	124	7
assemblage-100-81	38	24	0	0	4	0	0	43	17	0	0	0	0	0	0	0	29	210	33	0	0	0	0	20	0	70	12
assemblage-376-191	61	24	0	0	8	0	0	36	0	0	0	4	47	0	0	0	17	203	24	0	0	0	0	0	0	49	24
assemblage-28-280	0	0	0	0	0	0	0	91	0	0	0	0	53	0	325	0	0	19	0	0	0	0	0	0	0	0	12
assemblage-439-141	4	0	0	4	0	0	0	48	0	0	0	0	180	0	75	0	0	143	0	0	0	0	0	0	10	13	15
assemblage-334-261	0	0	0	0	0	0	0	0	122	0	0	0	0	12	0	0	0	167	0	7	0	0	0	17	0	116	29
assemblage-58-384	13	0	0	0	0	0	0	57	0	0	0	0	182	0	70	0	0	133	0	0	0	0	0	0	3	9	23
assemblage-362-378	18	0	0	0	0	0	0	70	0	0	0	0	179	0	50	0	0	152	0	0	0	0	0	0	5	10	13
assemblage-399-179	0	0	0	0	0	0	0	100	0	0	0	0	5	0	164	0	0	55	0	0	0	0	86	0	0	0	19
assemblage-227-463	57	39	0	0	11	0	0	45	6	0	0	12	45	0	0	0	7	189	16	0	0	0	0	0	0	53	20
assemblage-371-504	38	3	0	0	0	0	8	28	9	0	0	0	0	0	0	13	0	212	7	0	0	0	0	49	0	108	20
assemblage-316-240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-302-11	0	0	0	0	0	0	0	0	193	0	0	0	0	33	0	0	0	131	0	21	0	0	0	15	0	85	22
assemblage-70-396	0	0	0	0	0	0	0	0	27	11	5	0	0	0	0	12	0	182	0	0	0	18	0	49	0	159	10
assemblage-193-175	36	13	0	0	0	0	6	18	8	0	0	0	0	0	0	6	0	212	4	0	0	0	0	55	0	88	26
assemblage-405-198	39	8	0	0	0	0	4	34	7	0	0	0	0	0	0	6	0	210	13	0	0	0	0	39	0	114	26
assemblage-557-128	0	0	13	0	0	12	0	95	0	0	0	0	87	0	131	0	0	100	0	0	0	0	0	0	27	0	12
assemblage-509-269	50	7	0	16	0	0	0	57	0	0	0	0	128	0	0	0	0	161	0	0	0	0	0	0	0	66	7
assemblage-562-71	39	0	0	0	0	0	0	37	0	0	0	0	102	0	8	0	0	208	0	0	0	0	0	0	0	67	33
assemblage-354-74	48	4	0	10	0	0	0	51	0	0	0	0	96	0	0	0	0	164	0	0	0	0	0	0	0	94	24
assemblage-457-564	0	0	8	0	0	13	0	81	0	0	0	0	88	0	125	0	0	137	0	0	0	0	8	0	16	0	17
assemblage-78-293	0	13	0	0	0	0	11	0	41	20	0	0	0	7	0	0	0	192	0	0	0	17	0	55	0	129	15
assemblage-107-361	60	18	0	0	6	0	0	61	0	0	0	11	61	0	0	0	10	199	8	0	0	0	0	0	0	49	17
assemblage-383-43	43	27	0	0	9	0	0	67	6	0	0	0	0	0	0	0	20	178	25	0	0	0	0	23	0	87	15
assemblage-502-143	0	0	18	0	0	6	0	106	0	0	0	0	90	0	96	0	0	135	0	0	0	0	10	0	6	0	21
assemblage-534-355	0	0	0	0	0	0	0	24	0	0	0	0	112	0	87	0	0	0	0	0	142	0	34	0	0	0	6
assemblage-557-503	0	0	0	0	0	14	0	66	0	0	0	0	65	0	92	0	0	82	0	0	15	0	50	0	43	0	17
assemblage-229-138	0	0	0	0	0	0	0	0	142	0	10	0	0	10	0	0	0	159	0	3	0	0	0	10	0	129	19
assemblage-232-7	35	29	0	0	9	0	0	42	17	0	0	0	0	0	0	0	25	185	45	0	0	0	0	16	0	86	11
assemblage-327-344	0	0	0	0	0	0	0	6	0	0	0	0	93	0	96	0	0	0	0	0	167	0	60	0	0	0	2
