Assemblage_Name	7904201-0-8796763	0-0-9872281	2989326-4740063-8820117	4-2-1	1379634-151562-7688862	0-0-7242556	1379634-7433155-830219	1379634-7433155-4867603	0-1918052-3	2609812-7433155-830219	1627570-4740063-8820117	0-0-433435	0-218504-3	0-7433155-1	0-2-2656488	1563630-7433155-830219	1379634-8771533-830219	1379634-2421813-1	4-2-1816812	0-0-3	0-2-8820117	0-4495461-2251294	0-0-5374190	2989326-5984114-8820117	0-0-2251294	809429-215372-5374190	1379634-7433155-1	0-0-8796763	0-3601636-4	3798206-5224314-8193297	0-2-1	0-2-4	828719-7433155-830219	2989326-2-8820117	1298303-7433155-830219	3-4-3	1379634-9329444-7688862	1379634-7433155-6228581	965778-2-8820117	1379634-7433155-7688862	820725-7433155-6228581	3798206-0-8193297	0-2-3938687	0-218504-7638130	820725-3710457-6228581	296210-4-3	0-0-9210596	5145313-7433155-7688862
assemblage-307-446	0	0	0	38	0	0	23	0	14	0	0	0	32	0	0	0	0	0	0	63	7	0	0	0	0	0	22	0	36	11	75	30	0	0	0	0	0	60	0	12	0	12	0	0	0	11	0	54
assemblage-402-441	0	0	0	53	0	0	0	0	16	0	0	0	22	16	8	0	0	0	0	63	0	0	0	0	0	0	63	0	6	0	52	16	0	0	0	28	0	22	0	0	0	52	0	0	0	31	0	44
assemblage-160-240	18	0	0	0	0	0	0	47	0	63	0	0	0	0	0	13	0	0	0	0	0	0	70	0	0	0	0	131	0	0	0	0	0	0	0	0	8	0	0	86	0	0	0	0	0	0	0	48
assemblage-394-158	0	0	0	47	0	0	90	0	0	0	0	0	0	0	0	7	19	35	0	0	0	5	0	0	20	0	0	52	0	0	0	0	39	58	0	0	0	0	0	47	8	0	0	8	7	0	0	58
assemblage-166-418	0	0	0	52	10	0	10	0	0	0	0	0	0	0	0	33	4	36	0	0	0	5	0	11	33	0	0	106	0	0	0	0	16	68	0	0	0	0	0	83	0	0	0	0	0	0	0	18
assemblage-78-518	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	37	0	0	0	0	141	0	0	0	0	0	0	0	22
assemblage-171-106	26	0	0	0	0	11	0	32	0	46	23	19	0	0	0	24	0	0	0	0	0	0	93	0	0	25	0	115	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	32	26
assemblage-370-377	0	0	0	56	0	0	76	0	0	0	0	0	10	0	0	0	0	21	3	47	39	0	0	0	10	0	0	0	12	0	12	0	13	18	0	0	0	63	6	23	14	0	32	11	0	0	0	26
assemblage-444-408	17	5	0	0	0	0	0	25	0	70	21	0	0	0	0	0	0	0	0	0	0	0	115	0	18	0	0	67	0	0	0	0	0	0	0	0	7	0	0	121	0	0	0	0	0	0	0	34
assemblage-471-17	0	0	0	47	0	0	11	0	19	0	0	0	34	0	0	0	0	6	0	68	5	0	0	0	0	0	40	0	34	18	52	11	0	0	0	0	0	62	0	5	0	23	0	2	0	4	0	50
