Assemblage_Name	2841260-4-3	3262866-39310-4546457	0-39310-521843	3-2-242690	0-3698317-4546457	7353648-2936949-1	5461838-2931217-1	4526729-2936949-6748942	3-4683212-2	3-2931217-4872950	1-4-3	3-2-2	2841260-4-6332437	3-2931217-1	1066832-39310-4546457	0-39310-9250822	0-39310-0	0-39310-4546457	198614-4969411-521843	8324152-2-2	0-39310-7583303	7353648-5538851-1	7353648-1452206-1	3-5538851-1	3-4-1112267	3-8238677-2	0-39310-7323464	3-4-1	4526729-2936949-1	0-6733022-788831	0-6733022-4546457	6328646-2936949-6748942	2841260-4-4995555	0-4969411-521843	3234497-6733022-4546457	3-2475511-2	2841260-4-1558083	0-9760678-521843	2841260-4-3757670	3-2-3376722	0-1-0	1-4-4075604	0-7512810-521843	2872389-4-3	1902576-39310-7323464	0-39310-2327019
assemblage-302-153	60	0	0	0	0	0	0	0	9	0	102	31	16	58	0	0	0	98	0	0	0	0	0	0	0	0	0	21	0	0	0	0	13	0	0	0	0	0	0	30	0	11	0	20	0	31
assemblage-353-440	29	0	72	0	0	22	26	0	0	0	0	0	0	54	0	25	0	71	0	15	9	0	7	0	0	0	0	0	0	0	97	0	0	0	0	16	15	0	0	0	0	9	0	0	0	33
assemblage-481-455	86	18	5	0	0	0	0	0	0	0	22	17	9	77	0	0	0	73	0	38	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	34	0	39	0	10	0	33
assemblage-211-310	0	0	0	0	21	0	41	59	0	11	0	0	0	34	0	0	0	36	25	0	0	0	0	0	0	0	0	0	26	0	91	0	0	58	0	7	0	19	0	0	0	0	6	0	0	50
assemblage-164-148	58	0	0	0	0	0	0	0	10	0	92	59	16	33	0	0	0	77	0	0	0	0	0	0	8	0	0	18	0	0	0	0	16	0	0	0	0	0	0	27	0	37	0	28	0	21
assemblage-125-28	0	0	0	0	0	0	106	33	0	12	0	0	0	11	0	0	0	2	74	0	0	0	0	0	0	0	0	0	27	0	124	13	0	18	0	0	0	37	0	0	0	0	0	0	0	43
assemblage-464-426	51	0	0	0	0	0	0	0	3	0	88	48	16	46	0	0	0	95	0	0	0	0	0	0	0	0	0	30	0	0	0	0	8	0	0	0	0	0	0	33	0	28	0	28	0	26
assemblage-357-192	29	0	0	25	0	0	0	0	0	0	52	112	0	0	0	0	11	11	0	0	0	0	0	0	24	48	13	65	0	0	0	0	0	0	0	0	0	0	0	27	38	0	0	0	9	31
assemblage-536-504	0	0	0	0	13	0	27	0	0	0	0	0	0	103	16	0	0	32	10	16	0	0	0	0	0	0	0	0	18	10	161	0	0	27	0	19	0	0	0	0	0	0	6	0	0	42
assemblage-168-41	0	0	0	17	0	0	0	0	0	0	240	102	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	6	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	18
assemblage-459-564	0	0	39	0	0	29	53	0	0	0	0	0	0	59	24	0	0	16	0	21	0	0	0	0	0	0	0	0	11	21	159	0	0	4	13	30	0	0	0	0	0	0	0	0	0	15
assemblage-552-95	0	0	60	0	0	36	64	0	0	0	0	0	0	49	26	0	0	12	0	23	0	0	0	0	0	0	0	0	0	30	129	0	0	15	7	36	0	0	0	0	0	0	0	0	0	13
assemblage-367-299	0	0	0	0	7	0	26	0	0	0	0	0	0	100	45	0	0	35	0	23	0	0	0	0	0	0	0	0	33	4	120	0	0	21	0	19	0	0	0	0	0	0	18	0	0	49
assemblage-115-471	25	0	57	0	0	19	22	0	0	0	0	0	0	37	0	20	0	33	0	30	7	0	0	1	0	0	0	0	0	0	133	0	0	0	0	26	11	0	0	0	0	21	0	0	0	27
assemblage-430-159	49	0	33	0	0	9	15	0	0	0	0	0	15	124	0	0	0	82	0	28	0	25	0	10	0	0	0	0	0	0	43	0	0	0	0	13	12	0	0	2	0	5	0	0	0	35
assemblage-245-231	0	0	0	0	0	0	89	34	0	20	0	0	0	9	0	0	0	4	70	0	0	0	0	0	0	0	0	0	11	0	103	18	0	42	0	0	0	59	0	0	0	0	0	0	0	27
assemblage-173-80	44	0	0	44	0	0	0	0	0	0	61	100	0	0	0	0	20	12	0	0	0	0	0	0	23	36	18	53	0	0	0	0	0	0	0	0	0	0	0	11	38	0	0	0	4	36
assemblage-81-432	0	0	0	0	14	0	58	45	0	7	0	0	0	39	0	0	0	41	19	0	0	0	0	0	0	0	0	0	28	0	101	0	0	37	0	12	0	34	0	0	0	0	5	0	0	47
assemblage-361-309	84	19	5	0	0	0	0	0	0	0	9	18	13	92	0	0	0	68	0	43	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	33	0	8	0	55
assemblage-251-16	0	0	50	0	0	32	50	0	0	0	0	0	0	51	24	0	0	7	0	34	0	0	0	0	0	0	0	0	4	24	156	0	0	3	13	29	0	0	0	0	0	0	0	0	0	23
assemblage-149-418	33	0	0	43	0	0	0	0	0	0	58	102	0	0	0	0	14	12	0	0	0	0	0	0	21	55	13	56	0	0	0	0	0	0	0	0	0	0	7	11	44	0	0	0	8	18
assemblage-361-146	76	0	49	0	0	13	10	0	0	0	0	8	23	84	0	0	0	84	0	26	0	17	0	8	0	0	0	0	0	0	26	0	0	0	0	24	8	0	0	4	0	12	0	0	0	20
assemblage-433-4	58	0	37	0	0	13	13	0	0	0	0	0	25	89	0	0	0	101	0	25	0	18	3	9	0	0	0	0	0	0	41	0	0	0	0	14	13	0	0	5	0	8	0	0	0	28
assemblage-181-379	18	0	72	0	0	18	23	0	0	0	0	0	0	51	0	20	0	48	0	27	2	0	5	0	0	0	0	0	0	0	121	0	0	0	0	22	16	0	0	0	0	15	0	0	0	38
assemblage-76-27	75	19	14	0	0	0	0	0	0	0	19	19	12	86	0	0	0	79	0	29	0	0	0	12	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	23	0	44	0	8	0	47
assemblage-455-198	0	0	0	0	0	0	0	0	0	0	208	135	0	0	0	0	0	91	0	0	0	0	0	0	0	7	0	27	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	17
assemblage-426-392	0	0	0	0	0	0	0	0	0	0	210	157	0	0	0	0	0	71	0	0	0	0	0	0	0	6	0	28	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6
assemblage-328-1	0	0	0	0	0	0	100	11	0	18	0	0	0	17	0	0	0	7	61	0	0	0	0	0	0	0	0	0	23	0	129	29	0	22	0	0	0	49	0	0	0	0	0	0	0	17
assemblage-523-359	0	0	0	0	13	0	17	0	0	0	0	0	0	82	15	0	0	52	7	23	0	0	0	0	0	0	0	0	31	0	149	0	0	27	0	17	0	0	0	0	0	0	21	0	0	46
assemblage-176-397	0	0	0	0	25	0	50	59	0	11	0	0	0	40	0	0	0	31	22	0	0	0	0	0	0	0	0	0	21	0	120	0	0	41	0	5	0	17	0	0	0	0	0	0	0	50
