Assemblage_Name	4-2-1	1379634-7433155-830219	1379634-7433155-4867603	0-218504-3	1563630-7433155-830219	1379634-2421813-1	0-0-3	0-0-2251294	0-0-8796763	0-3601636-4	0-2-1	828719-7433155-830219	2989326-2-8820117	1379634-7433155-6228581	1379634-7433155-7688862	0-2-3938687	0-218504-7638130	5145313-7433155-7688862
assemblage-164-565	36	100	0	0	0	42	0	29	70	0	0	30	43	0	40	6	7	51
assemblage-289-67	18	0	0	0	65	0	0	0	158	0	0	0	6	0	129	0	0	37
assemblage-558-564	0	0	17	0	0	0	0	0	350	0	0	0	0	0	7	0	0	12
assemblage-531-487	0	0	26	0	18	0	0	0	117	0	0	0	0	0	17	0	0	36
assemblage-410-139	43	0	0	6	0	0	67	0	0	11	37	0	0	16	0	0	0	46
assemblage-537-350	48	2	0	0	40	29	0	28	86	0	0	35	31	0	113	0	0	29
assemblage-168-13	44	78	0	0	0	16	11	80	0	0	0	51	25	8	44	33	31	37
assemblage-54-275	58	58	0	7	0	25	62	9	0	17	15	11	16	63	27	20	13	20
assemblage-179-176	33	4	0	39	0	0	58	0	0	32	74	0	0	58	19	0	0	49
assemblage-400-103	0	0	23	0	0	0	0	0	89	0	0	0	0	0	92	0	0	51
