Assemblage_Name	4-2-2	6393116-0-3	794572-4848007-7707738	794572-1-7707738	0-1-1	0-1-7707738	2-0-3	2-0-7801918	9068267-1-1	0-2985804-1	794572-1-7354735	2-6515027-7801918
assemblage-119-44	0	0	0	0	166	50	0	80	60	0	0	144
assemblage-175-337	0	0	0	174	130	0	0	0	0	0	78	118
assemblage-46-340	0	0	0	104	119	0	86	0	0	0	0	191
assemblage-496-130	0	0	0	98	62	0	150	0	0	0	0	190
assemblage-303-90	0	0	0	0	173	0	63	111	0	0	0	153
assemblage-533-477	48	0	0	0	150	0	0	68	107	0	0	127
assemblage-516-381	0	0	0	109	160	0	62	0	0	0	0	169
assemblage-183-187	0	0	0	107	214	0	0	0	0	0	0	179
assemblage-299-197	59	0	0	0	129	0	0	48	92	0	0	172
assemblage-410-192	0	0	0	0	91	0	88	157	0	0	0	164
assemblage-445-373	0	0	71	225	74	0	0	0	0	0	0	130
assemblage-216-451	0	0	0	0	177	52	0	94	53	0	0	124
assemblage-261-143	0	50	0	83	65	0	137	53	0	0	0	112
assemblage-217-518	0	0	0	97	144	0	80	0	0	0	0	179
assemblage-366-307	0	0	0	205	136	0	0	0	0	0	61	98
assemblage-322-476	65	0	0	0	150	0	0	70	67	0	0	148
assemblage-157-484	0	0	0	159	121	0	0	0	0	0	87	133
assemblage-406-123	0	55	0	93	71	0	148	0	0	0	0	133
assemblage-370-527	0	66	0	0	155	0	0	101	59	0	0	119
assemblage-204-120	0	0	0	0	67	0	121	131	0	0	0	181
assemblage-72-265	0	0	0	0	154	0	62	130	0	0	0	154
assemblage-23-228	0	48	0	0	63	0	91	143	0	0	0	155
assemblage-434-112	0	0	0	0	197	0	0	111	0	0	0	192
assemblage-374-216	0	0	0	116	228	0	0	0	0	0	0	156
assemblage-353-354	0	0	0	0	179	71	0	78	0	0	0	172
assemblage-82-446	0	0	0	132	200	0	0	0	0	0	0	168
assemblage-309-310	0	0	0	156	170	0	0	0	0	0	65	109
assemblage-388-93	0	0	0	0	140	0	78	111	0	0	0	171
assemblage-321-120	0	0	0	103	59	0	167	40	0	0	0	131
assemblage-77-483	0	0	0	0	149	65	0	116	0	0	0	170
assemblage-108-318	0	0	0	0	188	67	0	86	0	0	0	159
assemblage-495-293	0	0	0	0	186	0	62	83	0	0	0	169
assemblage-265-306	0	0	0	117	200	0	0	0	0	0	0	183
assemblage-48-413	0	0	0	0	141	0	94	113	0	0	0	152
assemblage-496-204	0	0	0	0	114	0	76	118	0	0	0	192
