Assemblage_Name	2841260-4-3	0-39310-521843	3-2-242690	5461838-2931217-1	4526729-2936949-6748942	3-4683212-2	1-4-3	3-2-2	3-2931217-1	3-9231708-1112267	0-39310-4546457	3-7730239-2	198614-4969411-521843	3-4-1112267	3-8238677-2	3-4-1	3-4-2226405	0-6733022-4546457	0-4969411-521843	0-9760678-521843	2841260-4-3757670	3-2-3376722	0-39310-2327019
assemblage-363-75	0	0	0	89	0	0	0	0	0	0	0	0	69	0	0	0	0	119	0	0	0	0	223
assemblage-138-552	0	0	57	0	0	0	87	88	0	0	0	0	0	0	0	68	0	0	0	0	0	0	200
assemblage-519-87	56	0	0	0	0	0	0	0	88	0	86	0	0	0	0	0	0	0	0	0	0	0	270
assemblage-189-322	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	134	0	0	0	0	259
assemblage-302-153	50	0	0	0	0	0	101	0	56	0	92	0	0	0	0	0	0	0	0	0	0	0	201
assemblage-287-58	86	0	0	0	0	0	0	0	87	0	46	0	0	0	0	0	0	0	0	0	0	0	281
assemblage-388-143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	333
assemblage-388-144	0	0	0	0	0	50	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	210	106
assemblage-281-74	0	0	0	54	45	0	0	0	0	0	0	0	0	0	0	0	0	123	54	0	0	0	224
assemblage-503-477	0	0	0	58	0	0	0	0	70	0	0	0	0	0	0	0	0	138	0	0	0	0	234
assemblage-467-219	44	0	0	0	0	0	104	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	259
assemblage-128-69	0	70	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	100	0	0	0	0	271
assemblage-215-181	0	0	0	49	0	0	0	0	49	0	0	0	0	0	0	0	0	128	0	0	0	0	274
assemblage-444-11	0	0	0	0	0	0	57	95	0	0	0	0	0	0	0	63	0	0	0	0	0	0	285
assemblage-447-160	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	148	0	0	0	0	271
assemblage-274-152	57	0	0	0	0	0	74	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	271
assemblage-464-426	0	0	0	0	0	0	74	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	333
assemblage-485-478	0	0	0	0	0	0	83	0	56	0	90	0	0	0	0	0	0	0	0	0	0	0	271
assemblage-429-356	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	134	0	0	0	0	294
