Assemblage_Name	2841260-4-3	0-39310-521843	3-2-242690	5461838-2931217-1	4526729-2936949-6748942	3-4683212-2	1-4-3	3-2-2	3-2931217-1	3-9231708-1112267	0-39310-4546457	3-7730239-2	198614-4969411-521843	3-4-1112267	3-8238677-2	3-4-1	3-4-2226405	0-6733022-4546457	0-4969411-521843	0-9760678-521843	2841260-4-3757670	3-2-3376722	0-39310-2327019
assemblage-295-308	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	301
assemblage-181-379	0	69	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	105	0	0	0	0	273
assemblage-212-241	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	320
assemblage-340-255	0	0	0	101	0	0	0	0	0	0	0	0	82	0	0	0	0	125	0	0	0	0	192
assemblage-503-283	60	42	0	0	0	0	0	0	103	0	92	0	0	0	0	0	0	0	0	0	0	0	203
assemblage-327-232	0	0	0	0	0	0	53	105	0	0	0	0	0	0	0	58	0	0	0	0	0	0	284
assemblage-479-130	93	0	0	0	0	0	0	0	70	0	60	0	0	0	0	0	0	0	0	0	0	0	277
assemblage-281-284	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	137	0	0	0	0	298
assemblage-131-344	0	0	0	48	0	0	0	0	52	0	0	0	0	0	0	0	0	138	0	0	0	0	262
assemblage-76-27	79	0	0	0	0	0	0	0	102	0	53	0	0	0	0	0	0	0	0	0	0	0	266
assemblage-486-391	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	110	58	0	0	0	275
assemblage-203-245	0	0	0	49	0	0	0	0	66	0	0	0	0	0	0	0	0	144	0	0	0	0	241
assemblage-30-186	80	0	0	0	0	0	0	0	85	0	64	0	0	0	0	0	0	0	0	0	0	0	271
assemblage-2-298	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	148	0	0	0	0	260
assemblage-153-433	45	0	0	0	0	0	92	0	0	0	89	0	0	0	0	0	0	0	0	0	0	53	221
assemblage-279-110	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	352
assemblage-310-494	0	65	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	112	0	0	0	0	266
assemblage-220-133	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	124	0	0	0	0	285
assemblage-286-301	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	312
assemblage-205-253	0	0	0	72	0	0	0	0	0	0	0	0	103	0	0	0	0	115	0	0	0	0	210
assemblage-415-496	0	0	0	0	0	0	112	0	52	0	67	0	0	0	0	0	0	0	0	0	0	0	269
assemblage-167-103	0	0	0	61	0	0	0	0	63	0	0	0	0	0	0	0	0	141	0	0	0	0	235
assemblage-540-21	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	351
assemblage-353-440	0	72	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	110	0	0	0	0	269
assemblage-350-174	0	71	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	125	0	0	0	0	250
assemblage-171-78	88	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	327
assemblage-83-475	104	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	306
assemblage-96-43	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	312
assemblage-420-517	0	46	0	49	0	0	0	0	74	0	0	0	0	0	0	0	0	141	0	0	0	0	190
assemblage-555-325	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	350
assemblage-508-159	0	0	0	0	0	0	53	103	0	0	0	0	0	0	50	52	0	0	0	0	0	0	242
assemblage-320-327	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	143	0	0	0	0	256
assemblage-284-455	88	0	0	0	0	0	0	0	80	0	52	0	0	0	0	0	0	0	0	0	0	0	280
assemblage-70-130	0	0	0	0	0	0	61	98	0	0	0	0	0	0	0	66	0	0	0	0	0	0	275
assemblage-250-431	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	160	0	0	0	0	245
assemblage-335-290	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	147	0	0	0	0	269
assemblage-507-138	75	0	0	0	0	0	0	0	88	0	53	0	0	0	0	0	0	0	0	0	0	0	284
assemblage-220-227	0	0	0	0	0	0	51	103	0	0	0	0	0	0	66	0	0	0	0	0	0	0	280
assemblage-251-39	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	149	0	0	0	0	267
assemblage-298-399	0	66	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	110	0	0	0	0	257
assemblage-435-466	68	0	0	0	0	0	0	0	83	0	57	0	0	0	0	0	0	0	0	0	0	0	292
assemblage-363-17	0	0	0	64	0	0	0	0	62	0	0	0	0	0	0	0	0	135	0	0	0	0	239
assemblage-516-448	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	118	0	0	0	0	286
assemblage-92-469	0	0	0	88	0	0	0	0	0	0	0	0	76	0	0	0	0	110	0	0	0	0	226
assemblage-396-209	41	0	0	0	0	0	114	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	255
assemblage-137-12	0	0	0	0	0	0	0	0	86	0	82	0	0	0	0	0	0	0	0	0	0	0	332
assemblage-293-520	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	168	0	0	0	0	283
assemblage-6-555	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	351
assemblage-528-196	87	0	0	0	0	0	0	0	84	0	52	0	0	0	0	0	0	0	0	0	0	0	277
assemblage-356-363	0	0	0	0	0	0	0	172	0	0	74	80	0	0	0	153	0	0	0	0	0	0	21
assemblage-319-121	0	0	0	58	0	0	0	0	0	0	0	0	86	0	0	0	0	136	0	0	0	0	220
assemblage-244-538	0	0	0	0	0	0	57	113	0	0	0	0	0	0	69	49	0	0	0	0	0	0	212
assemblage-109-325	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	143	0	0	0	0	280
assemblage-312-250	0	0	0	0	0	0	0	235	0	0	0	0	0	0	66	0	89	0	0	0	0	0	110
assemblage-5-33	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	157	0	0	0	0	258
assemblage-404-108	62	0	0	0	0	0	76	0	0	0	97	0	0	0	0	0	0	0	0	0	0	42	223
assemblage-89-170	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	142	0	0	0	0	262
assemblage-284-413	60	0	0	0	0	0	0	0	84	0	75	0	0	0	0	0	0	0	0	0	0	0	281
assemblage-563-118	0	0	0	53	68	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	267
assemblage-481-455	124	0	0	0	0	0	0	0	69	0	60	0	0	0	0	0	0	0	0	0	0	0	247
assemblage-422-207	37	0	0	0	0	0	87	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	286
assemblage-211-310	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	89	50	0	0	0	305
assemblage-311-89	59	0	0	0	0	0	0	0	85	0	96	0	0	0	0	0	0	0	0	0	0	0	260
assemblage-0-188	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	101	48	0	0	0	297
assemblage-451-70	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	80
assemblage-494-250	0	0	0	90	0	0	0	0	0	0	0	0	65	0	0	0	0	122	0	0	0	0	223
assemblage-233-126	0	50	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	129	0	0	0	0	265
assemblage-102-163	0	57	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	117	0	0	0	0	257
assemblage-42-124	67	0	0	0	0	0	91	0	42	0	76	0	0	0	0	0	0	0	0	0	0	0	224
assemblage-206-515	0	0	0	38	0	0	0	0	81	0	0	0	0	0	0	0	0	134	0	0	0	0	247
assemblage-100-516	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	150	0	0	0	0	264
assemblage-245-231	0	0	0	97	0	0	0	0	0	0	0	0	69	0	0	0	0	104	0	0	0	0	230
assemblage-297-52	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	357
assemblage-32-285	67	0	0	0	0	0	0	0	108	0	56	0	0	0	0	0	0	0	0	0	0	0	269
assemblage-540-16	0	49	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	155	0	0	0	0	249
assemblage-46-343	0	0	0	0	0	0	0	0	0	0	149	0	0	0	73	86	0	0	0	0	0	0	192
assemblage-190-538	0	46	0	0	0	0	0	0	94	0	110	0	0	0	0	0	0	0	0	0	0	0	250
assemblage-36-520	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	304
assemblage-112-488	57	58	0	0	0	0	0	0	104	0	86	0	0	0	0	0	0	0	0	0	0	0	195
assemblage-355-46	63	0	0	0	0	0	0	0	99	0	83	0	0	0	0	0	0	0	0	0	0	0	255
assemblage-537-440	0	0	0	54	62	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	287
assemblage-161-103	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	139	0	0	0	0	263
assemblage-459-209	0	0	0	0	0	0	0	244	0	0	0	0	0	0	69	0	80	0	0	0	0	0	107
assemblage-28-44	0	0	0	0	0	0	46	116	0	0	0	0	0	0	0	55	0	0	0	0	0	0	283
assemblage-529-557	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	147	0	0	0	0	249
assemblage-100-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	66	0	0	0	332
assemblage-88-283	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	311
assemblage-23-3	85	0	0	0	0	0	0	0	88	0	59	0	0	0	0	0	0	0	0	0	0	0	268
assemblage-213-20	67	0	0	0	0	0	87	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	259
assemblage-242-334	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	73
assemblage-513-272	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	57	0	0	0	0	0	0	336
assemblage-557-304	0	0	0	100	0	0	0	0	0	0	0	0	70	0	0	0	0	116	0	0	0	0	214
assemblage-215-497	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	329
assemblage-449-400	61	0	0	0	0	0	0	0	88	0	114	0	0	0	0	0	0	0	0	0	0	0	237
assemblage-58-246	0	0	0	0	0	0	73	86	152	0	0	0	0	60	0	0	0	0	0	0	49	0	80
assemblage-357-192	0	0	0	0	0	0	53	128	0	0	0	0	0	0	61	48	0	0	0	0	0	0	210
assemblage-553-500	0	0	37	0	0	0	0	105	0	0	0	0	0	0	48	64	0	0	0	0	0	0	246
assemblage-157-133	0	0	0	75	0	0	0	0	57	0	0	0	0	0	0	0	0	144	0	0	0	0	224
assemblage-534-241	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	314
assemblage-37-189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	394
assemblage-69-374	0	0	0	102	0	0	0	0	0	0	0	0	74	0	0	0	0	109	0	53	0	0	162
assemblage-373-178	0	0	0	0	0	0	67	97	0	0	0	0	0	0	0	74	0	0	0	0	0	0	262
assemblage-141-170	0	0	0	86	0	0	0	0	0	0	0	0	82	0	0	0	0	117	0	0	0	0	215
assemblage-442-15	0	0	0	0	0	0	56	109	0	0	0	0	0	0	0	58	0	0	0	0	0	0	277
assemblage-430-514	0	0	0	70	0	0	0	0	0	0	0	0	61	0	0	0	0	140	0	0	0	0	229
assemblage-276-315	91	0	0	0	0	0	0	0	80	0	57	0	0	0	0	0	0	0	0	0	0	0	272
assemblage-283-338	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	175	0	0	0	0	233
assemblage-455-198	0	0	0	0	0	0	204	138	0	0	79	0	0	0	0	0	0	0	0	0	0	0	79
assemblage-62-211	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	327
assemblage-466-354	90	0	0	0	0	0	0	0	82	0	56	0	0	0	0	0	0	0	0	0	0	0	272
assemblage-489-57	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	152	0	0	0	0	259
assemblage-543-423	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	160	0	0	0	0	258
assemblage-155-425	0	0	0	0	0	0	61	97	135	0	0	0	0	55	0	0	0	0	0	0	65	0	87
assemblage-493-403	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	340
assemblage-385-247	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	135	0	0	0	0	283
assemblage-541-285	63	0	0	0	0	0	0	0	85	0	86	0	0	0	0	0	0	0	0	0	0	0	266
assemblage-326-310	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	290
assemblage-336-545	54	0	0	0	0	0	0	0	78	0	95	0	0	0	0	0	0	0	0	0	0	0	273
assemblage-136-249	0	0	0	0	0	0	51	103	0	0	0	0	0	0	52	69	0	0	0	0	0	0	225
assemblage-520-40	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	138	0	0	0	0	286
assemblage-225-129	54	0	0	0	0	0	102	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	271
assemblage-487-366	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	135	0	0	0	0	277
assemblage-375-50	54	0	0	0	0	0	0	0	96	0	90	0	0	0	0	0	0	0	0	0	0	0	260
assemblage-378-321	0	0	0	0	0	0	260	102	0	0	0	0	0	0	0	0	0	0	0	0	0	53	85
assemblage-536-504	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	160	0	0	0	0	250
assemblage-282-527	0	0	0	0	0	0	109	0	71	0	78	0	0	0	0	0	0	0	0	0	0	0	242
assemblage-169-131	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	344
assemblage-332-547	0	0	0	85	0	0	0	0	0	0	0	0	70	0	0	0	0	149	0	0	0	0	196
assemblage-364-373	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	137	0	0	0	0	279
assemblage-141-189	0	0	0	80	0	0	0	0	0	0	0	0	85	0	0	0	0	112	0	39	0	0	184
assemblage-147-361	87	0	0	0	0	0	0	0	76	0	77	0	0	0	0	0	0	0	0	0	0	0	260
assemblage-404-537	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	129	0	0	0	0	295
assemblage-369-285	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	145	0	0	0	0	257
assemblage-389-289	0	0	0	99	0	0	0	0	0	0	0	0	80	0	0	0	0	122	0	0	0	0	199
assemblage-359-350	0	0	0	0	0	0	76	61	131	0	0	0	0	63	0	0	0	0	0	0	84	0	85
assemblage-39-108	0	0	0	0	0	0	97	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296
assemblage-509-46	0	0	0	0	0	0	0	155	0	0	77	91	0	0	0	155	0	0	0	0	0	0	22
assemblage-153-142	0	0	0	0	0	0	86	57	126	0	0	0	0	54	0	0	0	0	0	0	107	0	70
assemblage-62-507	0	0	0	0	53	0	0	0	0	0	50	0	0	0	0	0	0	109	0	0	0	0	288
assemblage-323-325	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	114	59	0	0	0	285
assemblage-124-480	0	0	0	91	0	0	0	0	0	0	0	0	63	0	0	0	0	145	0	40	0	0	161
assemblage-412-531	79	0	0	0	0	0	0	0	60	0	105	0	0	0	0	0	0	0	0	0	0	0	256
assemblage-433-4	53	55	0	0	0	0	0	0	81	0	90	0	0	0	0	0	0	0	0	0	0	0	221
assemblage-162-464	0	46	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	135	0	0	0	0	265
assemblage-125-148	0	0	0	0	0	0	215	147	0	0	79	0	0	0	0	0	0	0	0	0	0	0	59
assemblage-55-274	0	0	0	0	0	0	0	0	0	0	148	0	0	0	62	126	0	0	0	0	0	0	164
assemblage-390-426	0	0	0	0	0	0	46	111	0	0	0	0	0	0	52	0	0	0	0	0	0	0	291
assemblage-168-188	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	348
assemblage-45-507	49	0	0	0	0	0	0	0	87	0	93	0	0	0	0	0	0	0	0	0	0	0	271
assemblage-347-295	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	139	0	0	0	0	268
assemblage-447-43	0	0	0	0	0	0	264	96	0	0	0	0	0	0	0	0	0	0	0	0	0	63	77
assemblage-146-435	0	71	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	109	0	0	0	0	259
assemblage-50-193	0	0	0	65	0	0	0	0	0	0	0	0	83	0	0	0	0	127	0	0	0	0	225
assemblage-186-313	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	330
assemblage-459-564	0	0	0	62	0	0	0	0	66	0	0	0	0	0	0	0	0	149	0	0	0	0	223
assemblage-126-13	0	0	0	0	0	0	0	98	0	0	0	0	0	0	65	57	0	0	0	0	0	0	280
assemblage-41-72	0	0	0	0	0	0	53	118	0	0	0	0	0	0	59	0	0	0	0	0	0	0	270
assemblage-449-460	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	138	0	0	0	0	304
assemblage-458-355	51	0	0	0	0	0	89	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	273
assemblage-397-410	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	292
assemblage-409-314	82	0	0	0	0	0	0	0	104	0	61	0	0	0	0	0	0	0	0	0	0	0	253
assemblage-560-327	43	0	0	0	0	0	92	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	266
assemblage-426-392	0	0	0	0	0	0	205	147	0	0	88	0	0	0	0	0	0	0	0	0	0	0	60
assemblage-104-486	0	0	0	0	0	0	73	102	0	0	0	0	0	0	38	58	0	0	0	0	0	0	229
assemblage-26-30	0	0	0	0	0	0	52	110	0	0	0	0	0	0	0	48	0	0	0	0	0	0	290
assemblage-539-83	0	0	0	0	0	0	54	105	0	0	0	0	0	0	48	0	0	0	0	0	0	0	293
assemblage-413-116	66	0	0	0	0	0	0	0	89	0	54	0	0	0	0	0	0	0	0	0	0	0	291
assemblage-348-254	44	0	0	0	0	0	102	44	0	0	96	0	0	0	0	0	0	0	0	0	0	0	214
assemblage-544-338	0	0	0	57	0	0	0	0	64	0	0	0	0	0	0	0	0	146	0	0	0	0	233
assemblage-552-95	0	53	0	43	0	0	0	0	56	0	0	0	0	0	0	0	0	141	0	0	0	0	207
assemblage-544-432	82	0	0	0	0	0	0	0	93	0	55	0	0	0	0	0	0	0	0	0	0	0	270
assemblage-203-249	0	0	0	46	59	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	273
assemblage-515-43	53	0	0	0	0	0	0	0	101	0	85	0	0	0	0	0	0	0	0	0	0	0	261
assemblage-387-20	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	124	48	0	0	0	280
assemblage-558-119	70	0	0	0	0	0	0	0	76	0	105	0	0	0	0	0	0	0	0	0	0	0	249
assemblage-251-16	0	0	0	59	0	0	0	0	47	0	0	0	0	0	0	0	0	152	0	0	0	0	242
assemblage-248-124	0	0	0	0	0	0	80	0	54	0	83	0	0	0	0	0	0	0	0	0	0	0	283
assemblage-252-438	68	0	0	0	0	0	0	0	91	0	74	0	0	0	0	0	0	0	0	0	0	0	267
assemblage-12-524	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	150	0	0	0	0	250
assemblage-247-10	73	0	0	0	0	0	0	0	102	0	45	0	0	0	0	0	0	0	0	0	0	0	280
assemblage-306-459	0	0	0	54	0	0	0	0	71	0	0	0	0	0	0	0	0	127	0	0	0	0	248
assemblage-6-366	0	0	0	48	73	0	0	0	0	0	53	0	0	0	0	0	0	94	0	0	0	0	232
assemblage-563-315	59	0	0	0	0	0	0	0	84	0	94	0	0	0	0	0	0	0	0	0	0	0	263
assemblage-285-80	0	0	0	59	0	0	0	0	53	0	0	0	0	0	0	0	0	179	0	0	0	0	209
assemblage-55-167	0	0	0	101	0	0	0	0	0	0	0	0	62	0	0	0	0	120	0	0	0	0	217
assemblage-285-362	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	142	0	0	0	0	295
assemblage-367-299	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	140	0	0	0	0	279
assemblage-268-360	0	0	0	64	0	0	0	0	71	0	0	0	0	0	0	0	0	134	0	0	0	0	231
assemblage-381-194	87	0	0	0	0	0	0	0	73	0	54	0	0	0	0	0	0	0	0	0	0	0	286
assemblage-204-207	0	0	0	51	0	0	0	0	66	0	0	0	0	0	0	0	0	153	0	0	0	0	230
assemblage-115-471	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	321
assemblage-21-146	141	0	0	0	0	0	0	237	0	0	0	0	0	0	0	49	0	0	0	0	0	0	73
assemblage-500-23	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	339
assemblage-313-518	50	0	0	0	0	0	0	0	81	0	112	0	0	0	0	0	0	0	0	0	0	0	257
assemblage-237-391	66	0	0	0	0	0	0	0	90	0	105	0	0	0	0	0	0	0	0	0	0	0	239
assemblage-273-1	61	0	0	0	0	0	0	0	80	0	89	0	0	0	0	0	0	0	0	0	0	0	270
assemblage-536-150	0	0	0	0	0	0	50	119	0	0	0	0	0	0	0	70	0	0	0	0	0	0	261
assemblage-485-494	73	0	0	0	0	0	0	0	68	0	93	0	0	0	0	0	0	0	0	0	0	0	266
assemblage-430-159	49	0	0	0	0	0	0	0	103	0	92	0	0	0	0	0	0	0	0	0	0	0	256
assemblage-186-156	0	0	0	0	0	0	66	84	134	0	0	0	0	54	0	0	0	0	0	0	83	0	79
assemblage-313-223	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	340
assemblage-241-315	0	0	0	86	0	0	0	0	0	0	0	0	75	0	0	0	0	105	0	0	0	0	234
assemblage-339-321	88	0	0	0	0	0	0	0	100	0	64	0	0	0	0	0	0	0	0	0	0	0	248
assemblage-228-430	0	67	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	103	0	0	0	0	262
assemblage-164-148	59	0	0	0	0	0	93	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	266
assemblage-293-474	76	0	0	0	0	0	0	0	76	0	59	0	0	0	0	0	0	0	0	0	0	0	289
assemblage-234-335	72	0	0	0	0	0	0	0	80	0	78	0	0	0	0	0	0	0	0	0	0	0	270
assemblage-531-87	0	0	0	0	0	0	60	129	0	0	0	0	0	0	0	51	0	0	0	0	0	0	260
assemblage-435-253	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	107	61	0	0	0	288
assemblage-238-371	37	0	0	0	0	0	0	0	106	0	104	0	0	0	0	0	0	0	0	0	0	0	253
assemblage-153-393	0	0	0	0	0	0	112	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	288
assemblage-138-193	114	0	0	0	0	0	0	262	0	0	0	0	0	0	0	52	0	0	0	0	0	0	72
assemblage-308-359	95	0	0	0	0	0	0	0	73	0	69	0	0	0	0	0	0	0	0	0	0	0	263
assemblage-271-522	0	0	0	73	0	0	0	0	44	0	0	0	0	0	0	0	0	146	0	0	0	0	237
assemblage-23-471	0	0	0	87	0	0	0	0	0	0	0	0	79	0	0	0	0	123	0	0	0	0	211
assemblage-497-42	77	0	0	0	0	0	0	0	94	0	61	0	0	0	0	0	0	0	0	0	0	0	268
assemblage-406-175	0	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	95
assemblage-151-211	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	336
assemblage-36-374	56	0	0	0	0	0	0	0	83	0	93	0	0	0	0	0	0	0	0	0	0	0	268
assemblage-439-373	0	0	0	98	0	0	0	0	0	0	0	0	88	0	0	0	0	93	0	0	0	0	221
assemblage-68-37	0	79	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	118	0	0	0	0	229
assemblage-71-255	68	0	0	0	0	0	73	0	64	0	73	0	0	0	0	0	0	0	0	0	0	0	222
assemblage-333-99	0	0	0	0	0	0	56	111	0	0	0	0	0	0	49	45	0	0	0	0	0	0	239
assemblage-362-85	0	0	0	0	0	0	46	114	0	0	0	0	0	0	0	58	0	0	0	0	0	0	282
assemblage-79-242	0	0	40	0	0	0	59	106	0	0	0	0	0	0	0	68	0	0	0	0	0	0	227
assemblage-432-324	0	0	0	102	0	0	0	0	0	0	0	0	77	0	0	0	0	102	0	0	0	0	219
assemblage-444-155	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	151	0	0	0	0	268
assemblage-551-353	0	0	0	0	0	0	0	202	0	0	0	0	0	0	77	0	99	0	0	0	0	0	122
