Assemblage_Name	0-39310-5223722	2841260-4-3	0-39310-9566991	3262866-39310-4546457	3-5538851-9968219	0-4851357-4546457	0-39310-521843	0-9725151-4546457	0-9511679-521843	0-6733022-2682576	5461838-9605347-1	3-2-242690	1-5508783-3	3-2-8340814	0-3698317-4546457	2841260-4-938328	2841260-4-9606775	7353648-2936949-1	0-1-7668995	7353648-6362526-1	5461838-2931217-1	4526729-2936949-6748942	8484783-6733022-4546457	3-4683212-2	3-2931217-4872950	1-4-3	3-2-2	4526729-5289846-1	2841260-4-6332437	9454542-4-3	3-2931217-1	1066832-39310-4546457	0-39310-363993	0-4577993-4546457	0-39310-9250822	3-6037130-2	9127980-4-3	6160319-7512810-521843	3-9231708-1112267	0-4969411-1533447	1078025-4969411-521843	0-39310-0	5461838-3861103-1	3-2931217-8932819	0-39310-4546457	2841260-4-1529495	3-7730239-2	1-4-2697145	198614-4969411-521843	8324152-2-2	0-39310-7583303	0-5188183-8740475	0-1-2131695	3-4-5908932	7353648-5538851-1	3-9104230-242690	7353648-1452206-1	3-2-3970392	0-39310-4295828	3-2475511-2030748	4526729-2936949-5920231	9638497-2931217-1	3-2872093-2	3-5538851-1	0-6332982-4546457	0-9086465-521843	2841260-4-867385	4526729-2936949-8714231	6077178-3698317-4546457	3-4-1112267	1-2920051-4075604	3-8238677-2	5662604-2931217-1	3-6441773-1	1-4-1301039	0-39310-7323464	3-4-1	3-4-2226405	4526729-2936949-1	2122713-39310-4546457	0-6733022-788831	0-6733022-4546457	6328646-2936949-6748942	2841260-4-4995555	2841260-7323074-1558083	0-4969411-521843	3234497-6733022-4546457	3238722-4-1	8880537-4-3	5461838-2931217-655548	3-2475511-2	2841260-4-1558083	0-530371-4546457	2074294-4-3	0-9760678-521843	2841260-4-784927	2841260-4-3757670	3-2-3376722	0-1-0	1-4-2462090	0-5188183-4546457	1-4-4075604	0-7512810-521843	2872389-4-3	1066232-2931217-1	3-4-825583	1-6251204-3	1902576-39310-7323464	0-39310-2327019
assemblage-362-85	0	15	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	50	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	52	0	0	0	21	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	39	7	0	0	0	0	0	0	0	11	35
assemblage-58-246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	88	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	4	0	0	16	0	15	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-335-13	0	52	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0	123	44	0	12	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	18	0	29	0	0	0	0	24
assemblage-409-314	0	76	0	23	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	15	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	12	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	45	0	8	0	0	0	0	44
assemblage-238-371	0	54	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	25	0	0	11	0	0	0	0	0	6	0	24	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	14	0	0	0	0	22	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	39
assemblage-283-121	0	17	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	28	0	0	29	0	0	0	0	0	0	0	0	0	54	0	0	0	27	0	0	0	0	0	0	0	0	0	56	0	0	0	0	22	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	37
assemblage-215-181	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	29	0	0	42	0	0	0	0	0	0	0	0	0	56	24	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	139	0	0	0	3	18	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
assemblage-347-295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	0	0	32	0	0	0	0	0	0	0	0	0	82	22	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	9	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	5	147	0	0	0	29	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	40
assemblage-176-397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	50	59	0	0	11	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	5	0	31	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	120	0	0	0	41	0	0	0	0	5	0	3	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-50-193	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	65	26	0	0	22	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	131	14	0	0	33	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	37
