Assemblage_Name	1340186-7433155-830219	661524-7433155-7010380	6885714-2-1	7904201-0-8796763	828719-7433155-1000524	0-0-9872281	2989326-4740063-8820117	3532103-4447039-5630920	1379634-1831954-7688862	4-2-1	1379634-4722701-7688862	1379634-151562-7688862	0-8986983-2656488	1379634-7433155-7010380	0-5497879-2251294	4034044-2-8820117	4-4447039-5630920	0-0-7242556	296210-5537824-3	0-2-1270632	1379634-7433155-830219	1379634-7433155-963076	1379634-7433155-4867603	0-1918052-3	5454406-7433155-7688862	2609812-7433155-830219	1627570-4740063-8820117	0-0-433435	1379634-7433155-7557906	0-218504-3	0-7433155-1	7897386-7433155-830219	7125816-7433155-7688862	8511121-0-2251294	0-2-2656488	1563630-7433155-830219	1379634-8771533-830219	1379634-2421813-1	828719-7433155-7852263	4-4678543-1	4-2-1816812	0-0-3092747	1379634-894264-7688862	0-2171459-4	4-590108-1	9893137-0-8796763	786883-7433155-6228581	0-0-3	0-7511550-3092747	1379634-7433155-5919871	0-2-8820117	7615540-2-4	0-0-9151596	1379634-7433155-9569357	0-7369661-8796763	2829333-2-1	0-3902131-8796763	0-0-5251132	0-1106462-8796763	4301256-0-8796763	4268345-215372-5374190	0-4465281-5374190	1379634-1369980-4867603	1379634-151562-4434589	3798206-0-2725076	7127852-4396203-6228581	0-0-5224514	0-4495461-2251294	0-0-1733570	0-0-5374190	0-0-31107	2989326-5984114-8820117	0-653125-1	0-0-2251294	809429-215372-5374190	1379634-7433155-1	0-0-8796763	0-511930-3	7287667-0-5374190	0-3601636-4	2989326-5650277-8820117	0-5247039-8796763	1379634-7433155-9080502	3798206-5224314-8193297	0-2-1	0-2-4	6513870-151562-7688862	0-0-4859903	0-0-9011731	516242-7433155-7688862	828719-7433155-830219	2467139-2-1	0-0-4690881	2989326-2-8820117	1298303-7433155-830219	2467139-4120457-1	3798206-804404-8193297	3-4-3	1379634-9329444-7688862	1379634-7433155-7837865	6925766-0-8796763	3798206-0-1446815	1563630-6790577-830219	3260277-0-8796763	828719-6198544-830219	1379634-7433155-6228581	0-0-9958408	965778-2-8820117	4562529-0-8796763	1379634-7433155-1640048	4025578-7433155-7688862	4296581-0-7242556	9303116-0-5374190	1379634-7433155-7688862	67791-0-2251294	5399041-0-8796763	828719-3776966-1000524	820725-7433155-6228581	3798206-0-8193297	820725-7433155-1644832	1379634-4016692-830219	1379634-7433155-8030452	0-3181786-8796763	0-2-3938687	4715882-0-8796763	0-218504-7638130	7451456-804404-8193297	0-5378828-8796763	820725-3710457-6228581	0-0-5747145	1379634-4396203-6228581	4594652-4740063-8820117	6600743-2-1	1379634-4310736-1	3652996-7433155-6228581	296210-4-3	2609812-7471561-830219	2766672-2-8820117	0-0-9210596	1379634-4291953-7688862	1379634-2421813-1323079	3798206-7163651-8193297	5145313-7433155-7688862
assemblage-410-139	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	11	0	0	0	7	37	28	0	0	0	0	0	4	0	0	0	0	0	35	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	46
assemblage-179-176	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	32	0	0	0	14	74	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	19	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	0	49
assemblage-54-275	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	25	0	12	9	0	0	0	0	0	0	62	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	17	0	0	0	0	15	0	0	0	0	0	11	0	0	16	0	0	0	0	0	0	0	0	0	0	0	63	0	14	0	0	0	0	0	27	0	0	0	11	0	0	0	0	0	20	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-168-13	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	25	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	44	0	0	0	34	0	0	0	0	0	33	0	31	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	37
assemblage-164-565	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	29	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	6	0	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	51
assemblage-537-350	0	0	0	0	0	0	0	0	0	48	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	8	29	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7	0	28	0	0	86	0	0	0	0	0	0	0	0	0	7	0	0	0	35	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
assemblage-289-67	0	0	0	0	11	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	49	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	12	0	0	0	0	37
assemblage-558-564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-400-103	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	93	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-531-487	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	26	0	0	41	20	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	37	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	36
