Assemblage_Name	5306996-7970978-7431668	3766722-6024695-4	3-3-3029847	2-6024695-1017314	4-3-2735296	9168229-6024695-4	2279407-8515498-7431668	506791-3-3	2-5421206-4	2-6152425-4	5885729-6024695-4	9259439-3-1696908	3766722-6024695-2940464	2-7970978-2376448	9259439-3-3	2-7970978-7431668	3-3-2	5230349-8515498-223966	4-3-9034389	6027775-7970978-7431668	803179-6024695-4	2-7970978-4	2-4113420-4344966	2-6024695-7072931	4-3-4614221	2-7887940-7431668	2172054-6024695-4	2-8515498-7431668	2-7970978-6883558	4-3-1782563	2-3482207-4	4-2795266-2906987	6921139-3-3	5230349-8515498-7431668	4-3929417-3	2-4113420-3166909	2516593-3-3	4-3-5635337	1112688-8515498-7431668	3518242-2795266-2812890	2238366-6024695-4	2-3072511-7431668	6362826-3-2	2-6024695-7760568	6632011-6024695-9864527	2-7222243-7431668	2-3022838-4	2-2139423-4	7159394-3-3	2-2252613-4	5230349-8515498-6007243	187473-6024695-4	1305788-8515498-7431668	2-8515498-1702528	2-6024695-4	2-8515498-9659517	2-1940735-4	4676356-3-2	3308484-3-3	4-5535083-3	2-8515498-1885665	1458055-6024695-4	2-7970978-5897602	4894219-6024695-4	2-6024695-4344966	4415350-6024695-4	3209147-6024695-4	9176168-8515498-7431668	2-4-4	2-5487374-4344966	4-3-1828225	2-6024695-5898518	7104384-9646254-4	4-2795266-2812890	2-6024695-9864527	5230349-4376370-7431668	2-1131873-4	2-4113420-3022340	3766722-6024695-7545206	2-3022838-8237419	2-9876146-4	9247362-1383534-7431668	212593-6024695-4	2-7970978-9810451	2-6024695-6353009	2-9646254-4	4-2795266-3	3-4-2	4-1640766-3	2-6024695-1116206	4-3-3	7722755-8515498-7431668	8756024-6024695-4	2-5359338-8237419
assemblage-302-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	85	0	0	22
assemblage-334-261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	15	0	0	0	0	0	0	0	0	9	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	116	0	0	29
assemblage-229-138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	129	0	9	19
assemblage-78-293	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	0	41	0	20	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	129	0	0	15
assemblage-75-101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	26	0	22	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	124	0	0	7
assemblage-70-396	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	27	0	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	7	0	0	0	0	0	0	0	0	49	0	0	0	0	159	0	0	10
assemblage-371-504	0	38	0	3	0	0	0	5	0	0	0	0	0	0	8	28	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	108	0	0	20
assemblage-405-198	0	39	0	8	0	0	0	0	0	0	0	0	0	0	4	34	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	114	0	0	26
assemblage-193-175	0	36	0	13	0	0	0	0	0	0	0	11	0	0	6	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	88	0	0	26
assemblage-383-43	0	43	0	27	0	0	0	0	0	0	0	0	9	0	0	67	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	87	0	0	15
assemblage-232-7	0	35	0	29	0	0	0	0	0	0	0	0	9	0	0	42	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	86	0	0	11
assemblage-100-81	0	38	0	24	0	0	0	0	0	0	0	0	4	0	0	43	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	70	0	0	12
assemblage-227-463	0	57	0	39	0	0	0	0	0	0	0	0	11	0	0	45	6	0	0	0	0	0	0	12	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	20
assemblage-107-361	0	60	0	18	0	0	0	0	0	0	0	0	6	0	0	61	0	0	0	0	0	0	0	11	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	17
assemblage-376-191	0	61	0	24	0	0	0	0	0	0	0	0	8	0	0	36	0	0	0	0	0	0	0	4	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	24
assemblage-354-74	0	48	0	4	0	0	0	0	0	0	10	0	0	0	0	51	0	0	0	0	0	0	0	0	0	4	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	24
assemblage-562-71	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	33
assemblage-509-269	0	50	0	7	0	0	0	0	0	0	16	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	66	0	0	7
assemblage-362-378	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	10	0	0	13
assemblage-439-141	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	8	180	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	13	0	0	15
assemblage-58-384	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	10	182	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	23
assemblage-457-564	0	0	0	0	0	0	0	0	0	8	0	0	0	13	0	81	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	16	0	0	0	0	0	0	17
assemblage-502-143	0	0	0	0	0	0	7	0	0	18	0	0	0	6	0	106	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	0	21
assemblage-557-128	0	0	0	0	0	0	0	0	0	13	0	0	0	12	0	95	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	12
assemblage-28-280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-399-179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	9	0	0	0	0	0	0	0	0	0	19
assemblage-557-503	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	66	0	18	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	14	6	0	18	0	0	0	0	0	0	0	0	15	0	0	0	0	0	50	0	0	0	0	0	0	43	0	0	0	0	0	0	17
assemblage-327-344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	55	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-316-240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	146	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	4
assemblage-534-355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	84	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	6
